iter	Passed	Remaining
939	10322	658
940	10332	647
941	10343	636
942	10353	625
943	10364	614
944	10375	603
945	10386	592
946	10397	581
947	10408	570
948	10418	559
949	10429	548
950	10440	537
951	10450	526
952	10461	515
953	10472	504
954	10483	493
955	10493	482
956	10503	471
957	10514	460
958	10525	449
959	10535	438
960	10546	427
961	10556	417
962	10568	406
963	10578	395
964	10589	384
965	10600	373
966	10610	362
967	10621	351
968	10640	340
969	10650	329
970	10662	318
971	10673	307
972	10683	296
973	10693	285
974	10704	274
975	10714	263
976	10725	252
977	10736	241
978	10746	230
979	10757	219
980	10768	208
981	10778	197
982	10789	186
983	10799	175
984	10809	164
985	10820	153
986	10831	142
987	10841	131
988	10851	120
989	10864	109
990	10875	98
991	10887	87
992	10898	76
993	10909	65
994	10921	54
995	10932	43
996	10942	32
997	10954	21
998	10965	10
999	10976	0
